compound_id,smiles,generation,source,fitness
13,Cc1cc(NC(=O)CC2=CCCCC2)n([C@H]2CCS(=O)(=O)C2)n1,"[0, 1]",initial,0.022762735824176233
14,CN1C(SCC2=C(N3C(SC2)C(N=C(O)CC2=CC=CS2)=C3O)C(O)=O)=NN=C(O)C1=O,"[0, 1]",initial,-1.4661369401372955
15,O=C1C[C@@H](c2ccc(Br)cc2)N=C(NC(=O)c2cccc(Cl)c2)N1,"[0, 1]",initial,1.2548132452815488
16,C[C@@H](c1nc(N)nc(Nc2ccccc2)n1)[NH+]1CCN(c2ncc(C(F)(F)F)cc2Cl)CC1,"[0, 1]",initial,-0.541153132084708
17,NS(=O)(=O)c1cccc(CNC(=O)CC2CCC2)c1,"[0, 1]",initial,0.6621786519011488
18,Nc1cc(C(F)(F)F)ccc1N1CCc2ccccc2C1,"[0, 1]",initial,2.3369356387851847
19,[H]OC(N([H])C([H])(C([H])(O[H])O[H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])=C(N([H])[H])C([H])=C(C([H])([H])[H])C([H])([H])[H],"[0, 1]",initial,-2.223870179116553
20,CCC(=O)Nc1c(-c2cc(OC)ccc2OC)n[nH]c1C,"[0, 1]",initial,1.4924520660940428
21,Cc1cc(C(=O)NCc2ccccn2)c2c(=O)[nH]n(C)c2n1,"[0, 1]",initial,-0.11479392765718471
22,CCOc1ccc(C(=O)NCC#CCOc2cccc(C(F)(F)F)c2)cc1,"[0, 1]",initial,2.232133858221211
23,C=CCC[C@H](C)[NH+]1CCC[C@@H](c2nncn2CC)C1,"[0, 1]",initial,-2.7805099149941133
24,CN1C(=O)c2ccc(C(=O)N3CCC[C@@H](c4ncc[nH]4)C3)cc2C1=O,"[0, 1]",initial,-0.13347629875422268
25,CCOc1ccccc1NC(=O)N1CCS[C@@H]1c1ccc(C(F)(F)F)cc1,"[0, 1]",initial,2.7242147754589645
26,Cn1ccnc1C(=O)[C@@H]1CCCN(C(=O)c2ccc(-c3cc[nH]n3)cc2)C1,"[0, 1]",initial,0.2067185897750765
27,CCOc1c(Br)cc(C(=O)Nc2ccc(-n3cnnn3)cc2)cc1OC,"[0, 1]",initial,1.7454756687523738
28,O[C@H]([C@@H]1CCOC2(CCOCC2)C1)[C@@H]1CSCCO1,"[0, 1]",initial,-2.5698303503172704
29,COC(=O)c1cccc(COC(=O)c2cccc([N+](=O)[O-])c2)c1,"[0, 1]",initial,1.916261293508329
30,CC(=O)c1cccc(NC(=O)[C@@]2(C)Oc3ccccc3NC2=O)c1,"[0, 1]",initial,0.8406832040635048
31,CNC(=O)c1ccc(Cl)c(NC(=O)CCCc2ccc(C)cc2)c1,"[0, 1]",initial,2.845074511885429
32,Cc1nnc2ccc(S[C@H](C)c3c(F)cccc3F)nn12,"[0, 1]",initial,0.9724257273919832
33,CC(=O)c1cccc(NC(=O)CCCc2nnc3ccccn23)c1,"[0, 1]",initial,1.6947401682175283
34,CCN1CC(OC1=O)C(O)C(CC1CCCCC1)NC(=O)C(CC1=CC=CS1)NC(O)=C(CC(=O)N1CCOCC1)CC1=CC=CC=C1,"[0, 1]",initial,-0.22755154730290356
35,CC[NH+]1CCN(c2ccccc2NC(=O)CSc2nnc(-c3ccccc3F)o2)CC1,"[0, 1]",initial,0.055677240470794476
36,CC(=O)c1ccc(N[C@H](C)c2nnc3ccccn23)c([N+](=O)[O-])c1,"[0, 1]",initial,0.9527651593134598
37,O=C(C[C@H]1C=CCC1)N1CCC[C@H]1c1nc(Nc2cccc(F)c2)cc(-c2ccncc2)n1,"[0, 1]",initial,1.822215345141584
38,COCc1ccccc1CNC(=O)NCC[NH+]1CCC(C)CC1,"[0, 1]",initial,-1.188329185641226
39,O=C(Cc1ccc(-n2cnnn2)cc1)OC[C@H]1CC=CCC1,"[0, 1]",initial,0.14196347517817515
40,Cc1ccc(NC(=O)N2CCO[C@H](c3ccc(Cl)cc3)C2)cc1[N+](=O)[O-],"[0, 1]",initial,1.9622456786263711
41,CCC(=O)N(C)CC(=O)N1N=C(c2ccccc2F)C[C@H]1c1ccc(OC)cc1,"[0, 1]",initial,1.2243770065488064
42,CSCc1cccc(NC(=O)CCn2ncc3cc(C)ccc32)c1,"[0, 1]",initial,2.525753071612691
43,CC[C@@H](C)c1cc(C(=O)NCc2ccc[nH]2)on1,"[0, 1]",initial,0.0502416593826879
44,CC(C)[C@@H](NC(=O)CN(C)c1ccc(C#N)cn1)C(=O)N(C)C,"[0, 1]",initial,-0.9329464176328177
45,CCN1CCN(C(=O)C(=O)Nc2ccc(Br)nc2C)CC1,"[0, 1]",initial,0.17925312533203325
46,CC(C)c1nc(N2CCC(C)(C)CC2)sc1C=O,"[0, 1]",initial,1.2464336756548955
47,O=C(NCc1nnc2n1CCCCC2)c1cncc(Br)c1,"[0, 1]",initial,-1.785572048881334
48,[H]OC(N([H])C([H])([H])C([H])([H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])=C([H])C([H])(O[H])C([H])(N([H])C(=O)C([H])(N([H])C(=O)C([H])(C([H])([H])C1=C([H])C2=C([H])C([H])=C([H])C([H])=C2C([H])=C1[H])C([H])([H])C1=C([H])C([H])=C([H])C2=C([H])C([H])=C([H])C([H])=C12)C([H])([H])C#CC([H])([H])N=C(S[H])N([H])C([H])([H])[H])C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],"[0, 1]",initial,0.4950209823326725
49,CN(C[C@H]1CCOC1)C(=O)Nc1cccc(C(=O)NC(C)(C)C)c1,"[0, 1]",initial,0.8697127751982126
50,O=c1oc(-c2ccc(F)cc2)nc2c(Cl)cc(Cl)cc12,"[0, 1]",initial,2.644034861547869
51,CCC[C@@H](NCCc1nc(C)no1)c1ccccn1,"[0, 1]",initial,0.44909219186251687
52,COc1ccc(CCn2cc(C(=O)[O-])ccc2=O)cc1OC,"[0, 1]",initial,-0.34954833059776397
53,CC(=O)N1CCc2ccccc2[C@H]1CC(=O)O[C@@H](C)c1cccc(F)c1,"[0, 1]",initial,1.3560814749331331
54,Clc1ccc(Cc2nc(-c3cc4ccccc4o3)no2)cn1,"[0, 1]",initial,2.2400983526810165
55,[H]N=C1N([H])C2=C(C([H])=C([H])C(Cl)=C2[H])S(=O)(=O)N1[H],"[0, 1]",initial,-1.004347174290805
56,Cc1cc(Br)c2c(c1)[C@H]([NH2+][C@@H]1CCO[C@@H]1C)CCO2,"[0, 1]",initial,-1.7846525924201273
57,O=C(NCc1ccc(N2CCOCC2)[nH+]c1)[C@@H]1CCC[NH+]1Cc1ccccc1,"[0, 1]",initial,-3.23042162201573
58,CO[C@@H]1CCCN(C(=O)NCCOc2ccc([N+](=O)[O-])cc2)C1,"[0, 1]",initial,0.3604435921283827
59,CC(C)CC(=O)N1CCC[C@@H](c2nc(-c3ccc(Cl)cc3)no2)C1,"[0, 1]",initial,1.9506439680237448
60,CCc1cc(=O)oc2cc(O[C@H](C)C(=O)N3CC[C@@]4(O)CCCC[C@@H]4C3)ccc12,"[0, 1]",initial,0.27473345190223125
61,O=C(Oc1ccc2c(c1)O/C(=C\c1cccnc1)C2=O)c1cccc(F)c1,"[0, 1]",initial,2.2485608515719124
62,COc1ccc(NCCOc2ccc(F)cc2)cc1,"[0, 1]",initial,2.655629658185944
63,CCc1nn(C)cc1C(=O)NCCc1cccc(F)c1,"[0, 1]",initial,1.0080506379154472
64,O=[N+]([O-])c1ccccc1/C=C/CN1CCC[C@@H]([NH+]2CCCC2)CC1,"[0, 1]",initial,-3.6898650246907816
65,CC(C)NC(=N)NC(N)=NC1=CC=C(Cl)C=C1,"[0, 1]",initial,0.11295394095578948
66,CC[C@@H]1CO[C@H](C)CN1[C@H](C[NH3+])CC(=O)NC(C)C,"[0, 1]",initial,-2.8671032159871515
67,CC[C@@H](C(=O)N1CCc2c(c(-c3nnc(-c4ccccc4F)o3)nn2C)C1)c1ccccc1,"[0, 1]",initial,1.578973858625227
68,NC(=O)NC(=O)CC[NH+]1CCC[C@@H]1c1ccc2c(c1)OCCO2,"[0, 1]",initial,-3.068746364294091
69,COCc1ccc(CNC(=O)C[NH+]2Cc3ccccc3N(C)C[C@H]2C)cc1,"[0, 1]",initial,-3.9516772131393028
70,COc1ncccc1CNC(=O)Nc1ccc(N2C[C@H](C)O[C@@H](C)C2)cc1,"[0, 1]",initial,0.8033271795218202
71,Cc1noc(C)c1[C@@H](C)NC(=O)Nc1ccc2c(c1)NC(=O)[C@@H](C)O2,"[0, 1]",initial,0.24570052577446364
72,CC[C@H](NC(=O)c1cnn(C)c1)C12CC3CC(CC(C3)C1)C2,"[0, 1]",initial,-5.823078231414499
73,C[C@@H](CC(=O)Nc1cccc(N2CCCC2)c1)NC(=O)CC1CCC1,"[0, 1]",initial,1.470253441930618
74,[NH3+]CC#Cc1cc(F)cc(Cn2ccnc2)c1,"[0, 1]",initial,-1.1916914489077055
75,O=C([O-])CC12CC3CC(C1)CC(CC(=O)[O-])(C3)C2,"[0, 1]",initial,-8.85749682715205
76,COc1ccc(NC(=O)Cc2csc(NC(=O)c3ccccc3)n2)cc1C,"[0, 1]",initial,2.6233121781856554
77,Cc1ccc(CN2CCC[C@@H]([NH+]3CCCC3)C2)o1,"[0, 1]",initial,-2.0285681452850732
78,O=C(NCCc1ccc[nH]1)[C@H]1CCCN(C(=O)c2ccncc2)C1,"[0, 1]",initial,0.014208852073707257
79,O=C(C[NH+](Cc1cccc(C(F)(F)F)c1)C[C@@H]1CCCO1)N1CCCC1,"[0, 1]",initial,-1.158143254183012
80,C[C@H](c1ccc(F)cc1)N(C)C(=O)c1ccc2c(=O)n3c(nc2c1)CCCCCC3,"[0, 1]",initial,-3.1408602548947617
81,COc1ccc(Cl)c2sc(N(CCN3CCOCC3)C(=O)Cc3ccc(F)cc3)nc12,"[0, 1]",initial,2.08622220040498
82,C[C@@H](Nc1ccc(COC(C)(C)C)cc1)c1ccc(C#N)cc1,"[0, 1]",initial,2.6962137213400843
83,Cc1ccn2c(CN3CCO[C@@H](c4nc(C(C)(C)C)cs4)C3)cnc2c1,"[0, 1]",initial,0.9103862374506981
84,COC(=O)[C@@H]1C[NH2+]C[C@H]1c1cccc(Cl)c1,"[0, 1]",initial,-2.051864599385543
85,CC(C)n1ncc2c1N=C(O)CS[C@@H]2c1ccc2ncccc2c1,"[0, 1]",initial,-1.5801059545243237
86,CCN(Cc1ccccc1Cl)C(=O)[C@@H]1CC[NH2+][C@@H]1C,"[0, 1]",initial,-1.2820143253215808
87,COC1=CC=CC(OC)=C1C(=O)NC1C2SC(C)(C)C(N2C1=O)=C(O)O,"[0, 1]",initial,-0.9868908700040151
88,N#Cc1cccnc1N1CCC(CNC(=O)NC(c2ccccc2)c2ccccc2)CC1,"[0, 1]",initial,2.3842099982774543
89,Clc1ccc(CNCc2c[nH]nc2-c2ccc3c(c2)OCCO3)cn1,"[0, 1]",initial,1.1369699509558764
90,COC(=O)C1=C(C)C(C(=O)COc2cc(C)ccc2C(N)=O)=N[C@@H]1C,"[0, 1]",initial,-0.7213174199954464
91,O=C([O-])[C@@H](Cc1ccccc1)NC(=O)N1CCN(c2ccc(F)cc2)CC1,"[0, 1]",initial,-0.2924510981000025
92,Nc1ccc(C(F)(F)F)c(O)c1,"[0, 1]",initial,0.8778262726418471
93,Cc1ccc(C[NH2+][C@H](C)c2nccs2)c(OCC(F)(F)F)c1,"[0, 1]",initial,-0.042374417150883525
94,COC[C@H](C)NC(=O)c1csc(-c2cccc(OC)c2OC)n1,"[0, 1]",initial,0.8565676058690812
95,CN1C(=O)CN(S(C)(=O)=O)C[C@@]1(C)C(=O)NCC(=O)NCc1ccccc1,"[0, 1]",initial,-2.077503814202227
96,C[C@@H](Nc1ncc(Br)cn1)c1cc2ccccc2o1,"[0, 1]",initial,1.8061009068738578
97,CO[C@H]1CCC[C@H](OC(=O)c2ccc(-n3ccnn3)cc2)C1,"[0, 1]",initial,0.12320324131707724
98,CC(=O)Nc1cccc([C@H](C)OC(=O)[C@@H]2C[C@@H]2c2cccc(F)c2F)c1,"[0, 1]",initial,1.3467665838107292
99,O=C(C[NH2+][C@@H]1CCCC[C@H]1C1CCCCC1)NC1CC1,"[0, 1]",initial,-1.1100433690612619
